ICAO,NAME
ASC,Air Star Corporation
SSL,Air Sultan
RSI,Air Sunshine
AIS,Air Sureste
JOA,Air Swift Aviation
VTA,Air Tahiti
THT,Air Tahiti Nui
HMA,Air Tahoma
ATC,Air Tanzania
HAT,Air Taxi
WAM,Air Taxi & Cargo
HTT,Air Tchad
CTE,Air Tenglong
TID,Air Tindi
TDY,Air Today
TGA,Air Togo
TOH,Air Tomisko
CNE,Air Toronto
AOU,Air Tractor
ATJ,Air Traffic GmbH
TSC,Air Transat
CYO,Air Transport
EAT,Air Transport
ATA,Air Transport Association
ATN,Air Transport International
ATQ,Air Transport Schiphol
ATS,Air Transport Service
ATH,Air Travel Corp.
TUN,Air Tungaru
TCI,Air Turks and Caicos
RTQ,Air Turquoise
AUX,Air Uganda International Ltd.
UKR,Air Ukraine
UMB,Air Umbria
UVS,Air Universal
URG,Air Urga
AVZ,Air Valencia
AVN,Air Vanuatu
VDR,Air Vardar
VGA,Air Vegas
VIM,Air VIA
GVI,Air Victoria Georgia
AHS,Air Viggi San Raffaele
RVP,Air VIP
AWW,Air Wales
WLR,Air Walser
AWT,Air West
RWS,Air Whitsunday
BSB,Air Wings
AWI,Air Wisconsin
ARX,"Air Xpress, Inc."
YRG,Air Yugoslavia
TZT,Air Zambezi
AZF,Air Zermatt AG
AZW,Air Zimbabwe
NGO,Air-Angol
HKH,Air-Invest
WPK,Air-Lift Associates
XPR,Air-Rep
ASB,Air-Spray 1967 Ltd.
EOL,Airailes
AXM,AirAsia
IAD,AirAsia India
XAX,AirAsia X
EZD,AirAsia Zest
BTI,airBaltic
ABQ,Airblue
RGT,Airbourne School of Flying
ABW,AirBridgeCargo
RBU,Airbus France
AIB,Airbus Industrie
BGA,Airbus Transport International
BKL,Aircompany Barcol
CHJ,Aircompany Chaika
GRX,Aircompany Grodno
URA,Aircompany Rosavia
RVT,Aircompany Veteran
SYL,Aircompany Yakutia
XLB,Aircraft Performance Group
NFF,Aircraft Support and Services
AIY,Aircrew Check and Training Australia
AIX,Aircruising Australia
ADU,Airdeal Oy
ARE,"Aires, Aerovias de Integracion Regional, S.A."
AIT,Airest
AFE,Airfast Indonesia
FIX,Airfix Aviation
AFX,Airfreight Express
MBC,Airjet Exploracao Aerea De Carga
XAK,Airkenya
ARL,Airlec - Air Aquitaine Transport
GSP,Airlift Alaska
AIR,Airlift International
OST,Airline Alania
XAO,Airline Operations Services
CDV,Airline Skol
VAZ,Airlines 400
ATM,Airlines Of Tasmania
TOK,Airlines PNG
JAR,Airlink
LNK,Airlink
HYR,Airlink Airways
LKS,Airlink Solutions
ZAK,Airlink Zambia
AYM,"Airman, S.L."
THM,Airmark Aviation
